"Time,""Car.Road.Route.DevAng"",""RPSensor.RP00.Path.DevDist"",""RPSensor.RP00.Route.CurveXY"",""Vhcl.Steer.Ang"""
"s,""deg"",""m"",""1/m"",""deg"""
0.011,1.949351629,-0.04541301355,-0.07043852657,4.269214539e-018
0.021,1.949351629,-0.04541301355,-0.07043852657,1.230985938e-016
0.031,1.949351629,-0.04541301355,-0.07043852657,1.475751781e-015
0.041,1.949351629,-0.04541301355,-0.07043852657,3.915852341e-015
0.051,1.949351629,-0.04541301355,-0.07043852657,5.322066377e-015
0.061,1.949351629,-0.04541301355,-0.07043852657,5.887618495e-015
0.071,1.949351629,-0.04541301355,-0.07043852657,7.289039296e-015
0.081,1.949351629,-0.04541301727,-0.07043852657,1.008836313e-014
0.091,1.949351629,-0.04541301727,-0.07043852657,1.216908762e-014
0.101,1.949351629,-0.04541301727,-0.07043852657,1.109801902e-014
0.111,1.949362728,-0.04541292042,-0.0704375729,-1.010347252e-011
0.121,1.949538392,-0.04541144148,-0.07042263448,7.860198845e-009
0.131,1.950611799,-0.04540240765,-0.07033126801,3.768291084e-009
0.141,1.952953059,-0.04538264498,-0.07013157755,1.36738271e-007
0.151,1.956529304,-0.04535229877,-0.06982543319,7.166585202e-006
0.161,1.961609257,-0.04530886561,-0.06938825548,3.639814103e-005
0.171,1.968460791,-0.04524966702,-0.06879426539,0.0001110956315
0.181,1.977342598,-0.04517184198,-0.06801659614,0.0002953153313
0.191,1.988164393,-0.04507539794,-0.06705678254,0.0006629990808
0.201,2.000806433,-0.04495998099,-0.06591874361,0.001321304282
0.211,2.015314182,-0.04482427984,-0.06458708644,0.002331172523
0.221,2.031646019,-0.04466689005,-0.06305631995,0.003485448889
0.231,2.049682415,-0.04448684305,-0.06131934747,0.004784547656
0.241,2.06932049,-0.04428300634,-0.05937202647,0.005721946124
0.251,2.090455657,-0.04405356571,-0.05720358342,0.005957250817
0.261,2.112829223,-0.04379819334,-0.05481294543,0.005449719055
0.271,2.136345138,-0.04351559654,-0.05309638381,0.003902146303
0.281,2.161292618,-0.04320505634,-0.05189246312,0.001347243077
0.291,2.187603362,-0.04286561161,-0.05059106648,-0.00198608621
0.301,2.215088257,-0.04249699786,-0.04919409379,-0.005957994534
0.311,2.243617104,-0.0420980379,-0.04770008102,-0.01031774977
0.321,2.272991828,-0.04166829586,-0.04611038044,-0.01423037606
0.331,2.303029933,-0.04120697454,-0.04442519322,-0.01694087401
0.341,2.33352929,-0.04071341455,-0.04264550284,-0.01812906516
0.351,2.364303989,-0.04018658027,-0.0407707803,-0.01765198411
0.361,2.395130982,-0.03962592781,-0.03880219534,-0.01561957255
0.371,2.425808777,-0.03903039172,-0.03673891351,-0.0109255941
0.381,2.456116889,-0.03839904442,-0.03458116576,-0.0002023583127
0.391,2.48582245,-0.03773075342,-0.03232939541,0.03851736554
0.401,2.514971777,-0.03701806813,-0.0299840793,0.1158775245
0.411,2.543226136,-0.03626276925,-0.02754515596,0.07082118641
0.421,2.56986174,-0.03547484428,-0.02501328103,0.1918659692
0.431,2.595163963,-0.0346404016,-0.02238864265,0.1047787402
0.441,2.618302724,-0.03377426043,-0.0196719598,0.1860847342
0.451,2.639296164,-0.03286699951,-0.0168637801,0.1758937048
0.461,2.657794879,-0.03192193434,-0.01396463159,0.13658922
0.471,2.673239004,-0.03094496392,-0.01097504515,0.2263985796
0.481,2.685729499,-0.02992683277,-0.007895647548,0.1205284299
0.491,2.694422409,-0.02888216823,-0.004726911429,0.2201800257
0.501,2.69941976,-0.0278003905,-0.001469539595,0.1625046126
0.511,2.700159128,-0.02669046633,0.001875628135,0.1244468108
0.521,2.69607745,-0.02555860579,0.005307632964,0.2073128294
0.531,2.687300656,-0.02439572848,0.008825588971,0.06753098947
0.541,2.672874656,-0.02322045714,0.01242879406,0.1299565725
